txn_date,merchant,amount,receipt_on_file,coded_to_account
2025-04-03,LinkedIn,639.7,N,750
2025-04-06,Home Depot,556.65,N,661
2025-04-06,Airbnb,271.43,N,670
2025-04-07,LinkedIn,245.37,N,670
2025-04-08,Marriott Hotels,589.13,N,661
2025-04-08,Uber,389.38,N,661
2025-04-12,Apple.com/Bill,396.13,N,660
2025-04-12,Home Depot,291.17,N,661
2025-04-15,Airbnb,458.68,N,661
2025-04-16,Airbnb,350.05,N,750
2025-04-16,Airbnb,528.89,N,661
2025-04-17,Marriott Hotels,608.74,N,660
2025-04-21,LinkedIn,74.87,N,670
2025-04-22,Adobe,48.74,N,660
2025-04-22,Marriott Hotels,388.5,N,660
2025-04-22,Home Depot,605.16,N,660
2025-04-23,Delta Air Lines,74.54,N,660
2025-04-24,LinkedIn,110.44,N,670
2025-04-27,Uber,173.69,N,750
2025-04-28,Whole Foods Market,559.87,N,660
2025-04-30,Home Depot,491.15,N,670
2025-05-06,Adobe,434.09,N,750
2025-05-07,Home Depot,215.06,N,670
2025-05-07,Whole Foods Market,235.3,N,750
2025-05-07,Best Buy,122.07,N,670
2025-05-08,DoorDash,527.67,N,670
2025-05-08,Costco Wholesale,555.2,N,661
2025-05-09,Delta Air Lines,480.79,N,660
2025-05-22,LinkedIn,615.2,N,670
2025-05-24,Best Buy,439.23,N,750
2025-05-24,LinkedIn,292.91,N,660
2025-05-26,DoorDash,220.56,N,661
2025-05-27,Marriott Hotels,392.35,N,750
2025-05-28,DoorDash,174.55,N,661
2025-05-31,Delta Air Lines,565.36,N,661
2025-06-03,Costco Wholesale,574.24,N,661
2025-06-03,Adobe,323.82,N,660
2025-06-04,Best Buy,67.39,N,750
2025-06-06,Home Depot,599.19,N,670
2025-06-07,DoorDash,300.74,N,661
2025-06-10,Apple.com/Bill,363.91,N,750
2025-06-11,Uber,627.34,N,660
2025-06-11,Whole Foods Market,584.14,N,750
2025-06-12,LinkedIn,165.64,N,750
2025-06-12,Whole Foods Market,171.87,N,750
2025-06-13,Airbnb,348.97,N,750
2025-06-14,Airbnb,120.39,N,661
2025-06-18,Apple.com/Bill,57.02,N,670
2025-06-19,Apple.com/Bill,118.51,N,670
2025-06-21,Adobe,38.94,N,661
2025-06-21,Airbnb,298.65,N,750
2025-06-23,Delta Air Lines,592.85,N,750
2025-06-24,Airbnb,476.62,N,670
2025-06-26,Apple.com/Bill,131.6,N,750
2025-06-30,Home Depot,350.26,N,661
2025-07-02,Airbnb,330.44,N,661
2025-07-05,Delta Air Lines,163.25,N,661
2025-07-06,Whole Foods Market,548.94,N,661
2025-07-10,LinkedIn,51.2,N,661
2025-07-10,Adobe,544.19,N,670
2025-07-12,Adobe,100.52,N,660
2025-07-12,Airbnb,120.2,N,670
2025-07-13,DoorDash,635.89,N,661
2025-07-13,Best Buy,122.81,N,660
2025-07-14,Uber,637.18,N,670
2025-07-15,Airbnb,56.25,N,661
2025-07-16,Costco Wholesale,416.69,N,750
2025-07-16,Marriott Hotels,197.47,N,660
2025-07-18,Marriott Hotels,525.09,N,670
2025-07-19,Adobe,592.17,N,750
2025-07-22,DoorDash,152.74,N,661
2025-07-23,Apple.com/Bill,385.62,N,750
2025-07-24,Delta Air Lines,477.61,N,750
2025-07-24,Home Depot,543.54,N,750
2025-07-31,Airbnb,174.59,N,661
2025-08-07,Delta Air Lines,184.45,N,670
2025-08-09,Delta Air Lines,517.64,N,750
2025-08-11,Home Depot,35.01,N,660
2025-08-12,Marriott Hotels,90.39,N,750
2025-08-13,Airbnb,575.08,N,670
2025-08-16,Airbnb,586.96,N,750
2025-08-17,LinkedIn,211.81,N,750
2025-08-18,Whole Foods Market,47.89,N,670
2025-08-20,Uber,345.55,N,670
2025-08-22,Airbnb,504.88,N,670
2025-08-22,Uber,282.0,N,661
2025-08-23,DoorDash,67.59,N,660
2025-08-24,Home Depot,203.28,N,670
2025-08-25,Apple.com/Bill,315.4,N,670
2025-08-25,Adobe,561.2,N,661
2025-08-26,Apple.com/Bill,469.21,N,750
2025-08-26,Delta Air Lines,308.09,N,750
2025-08-27,DoorDash,335.35,N,750
2025-08-27,DoorDash,361.04,N,660
2025-08-30,Airbnb,215.59,N,670
2025-08-30,Whole Foods Market,278.36,N,670
2025-08-31,Best Buy,565.02,N,660
2025-09-02,Marriott Hotels,258.95,N,661
2025-09-04,Uber,522.82,N,661
2025-09-07,Costco Wholesale,104.4,N,660
2025-09-07,Apple.com/Bill,125.29,N,750
2025-09-09,Best Buy,196.02,N,670
2025-09-09,Marriott Hotels,530.96,N,750
2025-09-12,Home Depot,265.5,N,670
2025-09-14,DoorDash,219.38,N,660
2025-09-16,Whole Foods Market,251.69,N,661
2025-09-18,Delta Air Lines,459.17,N,750
2025-09-20,Apple.com/Bill,239.53,N,661
2025-09-22,Delta Air Lines,320.41,N,670
2025-09-22,Whole Foods Market,626.72,N,750
2025-09-25,Adobe,293.3,N,661
2025-09-25,Apple.com/Bill,271.8,N,661
2025-09-25,DoorDash,321.62,N,670
2025-09-27,Best Buy,186.15,N,660
2025-09-28,Airbnb,42.02,N,661
2025-09-29,Adobe,215.25,N,670
2025-10-02,Apple.com/Bill,422.17,N,670
2025-10-02,Airbnb,566.97,N,670
2025-10-03,Airbnb,35.28,N,750
2025-10-03,Marriott Hotels,317.3,N,661
2025-10-04,Whole Foods Market,409.91,N,660
2025-10-05,Adobe,412.79,N,670
2025-10-06,Apple.com/Bill,331.14,N,661
2025-10-06,Uber,165.1,N,670
2025-10-06,DoorDash,145.08,N,670
2025-10-13,Best Buy,496.76,N,750
2025-10-17,Marriott Hotels,470.21,N,661
2025-10-17,Home Depot,553.56,N,661
2025-10-20,Delta Air Lines,221.45,N,670
2025-10-21,Home Depot,430.67,N,660
2025-10-22,Marriott Hotels,220.77,N,661
2025-10-25,Uber,141.25,N,670
2025-10-25,LinkedIn,211.64,N,660
2025-10-25,Uber,191.29,N,670
2025-10-29,Airbnb,74.63,N,750
2025-11-06,Whole Foods Market,156.45,N,661
2025-11-07,Marriott Hotels,616.7,N,670
2025-11-09,Costco Wholesale,422.71,N,661
2025-11-10,Airbnb,333.21,N,661
2025-11-15,Marriott Hotels,598.98,N,750
2025-11-16,Uber,255.32,N,670
2025-11-17,Costco Wholesale,493.18,N,660
2025-11-17,DoorDash,276.64,N,661
2025-11-19,Uber,64.45,N,661
2025-11-22,Airbnb,585.86,N,661
2025-11-23,DoorDash,558.48,N,750
2025-11-23,Uber,537.64,N,660
2025-11-25,Marriott Hotels,594.89,N,660
2025-11-25,Costco Wholesale,26.91,N,750
2025-11-27,LinkedIn,28.05,N,670
2025-11-30,Best Buy,266.38,N,750
2025-12-01,Whole Foods Market,257.69,N,750
2025-12-05,Marriott Hotels,408.69,N,670
2025-12-07,Uber,622.17,N,750
2025-12-08,Delta Air Lines,98.53,N,661
2025-12-08,Whole Foods Market,637.76,N,750
2025-12-12,DoorDash,371.87,N,670
2025-12-13,Best Buy,169.05,N,670
2025-12-14,Delta Air Lines,543.52,N,750
2025-12-16,Delta Air Lines,222.11,N,750
2025-12-16,Marriott Hotels,292.12,N,660
2025-12-17,Marriott Hotels,336.58,N,660
2025-12-21,Costco Wholesale,60.39,N,670
2025-12-23,Delta Air Lines,565.75,N,750
2025-12-24,Marriott Hotels,453.09,N,661
2025-12-27,Uber,255.4,N,670
2025-12-29,Whole Foods Market,425.66,N,670
2025-12-31,Costco Wholesale,303.64,N,670
2025-12-31,LinkedIn,33.66,N,660
