order_id,order_date,channel,sku,product_name,qty,unit_price,discount_pct,line_total
#88037,2025-01-30,Wholesale,VS-KNF-CHEF,8in Chef Knife,12,65.0,0.45,429.0
#88037,2025-01-30,Wholesale,VS-KTL-ST,Stovetop Kettle,6,69.0,0.45,227.7
#88038,2025-01-05,Shopify,VS-KNF-SET5,5-Piece Knife Set,2,189.0,0.0,378.0
#88038,2025-01-05,Shopify,VS-KTL-ST,Stovetop Kettle,2,69.0,0.0,138.0
#88038,2025-01-05,Shopify,VS-ST-3QT,3qt Stainless Saucepan,1,74.0,0.2,59.2
#88038,2025-01-05,Shopify,VS-KNF-CHEF,8in Chef Knife,1,65.0,0.0,65.0
#88039,2025-01-18,Wholesale,VS-ST-8QT,8qt Stainless Stockpot,24,129.0,0.45,1702.8
#88040,2025-01-31,Shopify,VS-MUG-SET,Ceramic Mug Set of 4,1,42.0,0.0,42.0
#88041,2025-01-01,Amazon,VS-ST-3QT,3qt Stainless Saucepan,2,74.0,0.0,148.0
#88042,2025-01-16,Amazon,VS-ST-3QT,3qt Stainless Saucepan,2,74.0,0.0,148.0
#88043,2025-01-17,Shopify,VS-KNF-CHEF,8in Chef Knife,1,65.0,0.0,65.0
#88043,2025-01-17,Shopify,VS-ST-3QT,3qt Stainless Saucepan,2,74.0,0.0,148.0
#88044,2025-01-19,Wholesale,VS-KNF-CHEF,8in Chef Knife,24,65.0,0.45,858.0
#88044,2025-01-19,Wholesale,VS-MUG-SET,Ceramic Mug Set of 4,24,42.0,0.45,554.4
#88044,2025-01-19,Wholesale,VS-ST-3QT,3qt Stainless Saucepan,6,74.0,0.45,244.2
#88044,2025-01-19,Wholesale,VS-CB-MAP,Maple Cutting Board,24,58.0,0.45,765.6
#88045,2025-01-21,Amazon,VS-CI-12,12in Cast Iron Skillet,3,95.0,0.0,285.0
#88046,2025-01-03,Shopify,VS-CI-10,10in Cast Iron Skillet,1,79.0,0.0,79.0
#88047,2025-01-31,Amazon,VS-CB-MAP,Maple Cutting Board,2,58.0,0.0,116.0
#88047,2025-01-31,Amazon,VS-MUG-SET,Ceramic Mug Set of 4,1,42.0,0.0,42.0
#88047,2025-01-31,Amazon,VS-ST-3QT,3qt Stainless Saucepan,1,74.0,0.0,74.0
#88048,2025-01-19,Shopify,VS-BAK-SHT,Half Sheet Baking Pan (2pk),1,39.0,0.0,39.0
#88049,2025-01-19,Wholesale,VS-KNF-CHEF,8in Chef Knife,24,65.0,0.45,858.0
#88049,2025-01-19,Wholesale,VS-ST-3QT,3qt Stainless Saucepan,12,74.0,0.45,488.4
#88050,2025-01-13,Amazon,VS-CI-10,10in Cast Iron Skillet,1,79.0,0.0,79.0
#88051,2025-01-22,Shopify,VS-CI-10,10in Cast Iron Skillet,2,79.0,0.0,158.0
#88051,2025-01-22,Shopify,VS-ST-3QT,3qt Stainless Saucepan,2,74.0,0.0,148.0
#88052,2025-01-03,Shopify,VS-KTL-ST,Stovetop Kettle,3,69.0,0.1,186.3
#88052,2025-01-03,Shopify,VS-BAK-SHT,Half Sheet Baking Pan (2pk),2,39.0,0.0,78.0
#88052,2025-01-03,Shopify,VS-KTL-ST,Stovetop Kettle,2,69.0,0.0,138.0
#88052,2025-01-03,Shopify,VS-KNF-CHEF,8in Chef Knife,1,65.0,0.0,65.0
#88053,2025-01-17,Shopify,VS-KNF-CHEF,8in Chef Knife,2,65.0,0.0,130.0
#88053,2025-01-17,Shopify,VS-CI-12,12in Cast Iron Skillet,3,95.0,0.0,285.0
#88053,2025-01-17,Shopify,VS-ST-3QT,3qt Stainless Saucepan,1,74.0,0.0,74.0
#88054,2025-01-28,Shopify,VS-CB-MAP,Maple Cutting Board,3,58.0,0.0,174.0
#88054,2025-01-28,Shopify,VS-KNF-SET5,5-Piece Knife Set,1,189.0,0.0,189.0
#88055,2025-01-09,Shopify,VS-ST-3QT,3qt Stainless Saucepan,2,74.0,0.0,148.0
#88056,2025-01-03,Shopify,VS-ST-3QT,3qt Stainless Saucepan,1,74.0,0.0,74.0
#88056,2025-01-03,Shopify,VS-CB-MAP,Maple Cutting Board,1,58.0,0.0,58.0
#88056,2025-01-03,Shopify,VS-CI-12,12in Cast Iron Skillet,1,95.0,0.0,95.0
#88056,2025-01-03,Shopify,VS-KTL-ST,Stovetop Kettle,1,69.0,0.0,69.0
#88057,2025-01-17,Shopify,VS-MUG-SET,Ceramic Mug Set of 4,3,42.0,0.0,126.0
#88057,2025-01-17,Shopify,VS-KTL-ST,Stovetop Kettle,3,69.0,0.0,207.0
#88057,2025-01-17,Shopify,VS-BAK-SHT,Half Sheet Baking Pan (2pk),1,39.0,0.0,39.0
#88058,2025-01-09,Wholesale,VS-CI-10,10in Cast Iron Skillet,12,79.0,0.45,521.4
#88058,2025-01-09,Wholesale,VS-UTN-SET,6-Piece Utensil Set,6,59.0,0.45,194.7
#88058,2025-01-09,Wholesale,VS-KTL-ST,Stovetop Kettle,6,69.0,0.45,227.7
#88059,2025-01-31,Amazon,VS-CI-10,10in Cast Iron Skillet,1,79.0,0.0,79.0
#88060,2025-01-24,Wholesale,VS-UTN-SET,6-Piece Utensil Set,12,59.0,0.45,389.4
#88060,2025-01-24,Wholesale,VS-UTN-SET,6-Piece Utensil Set,6,59.0,0.45,194.7
#88060,2025-01-24,Wholesale,VS-CI-10,10in Cast Iron Skillet,12,79.0,0.45,521.4
#88061,2025-01-25,Amazon,VS-KNF-CHEF,8in Chef Knife,2,65.0,0.0,130.0
#88061,2025-01-25,Amazon,VS-CB-MAP,Maple Cutting Board,1,58.0,0.0,58.0
#88062,2025-01-10,Wholesale,VS-MUG-SET,Ceramic Mug Set of 4,12,42.0,0.45,277.2
#88062,2025-01-10,Wholesale,VS-MUG-SET,Ceramic Mug Set of 4,6,42.0,0.45,138.6
#88062,2025-01-10,Wholesale,VS-ST-8QT,8qt Stainless Stockpot,12,129.0,0.45,851.4
#88063,2025-01-25,Shopify,VS-UTN-SET,6-Piece Utensil Set,1,59.0,0.1,53.1
#88064,2025-01-21,Amazon,VS-BAK-SHT,Half Sheet Baking Pan (2pk),2,39.0,0.0,78.0
#88064,2025-01-21,Amazon,VS-KNF-SET5,5-Piece Knife Set,3,189.0,0.0,567.0
#88065,2025-01-08,Shopify,VS-CI-12,12in Cast Iron Skillet,1,95.0,0.0,95.0
#88065,2025-01-08,Shopify,VS-KNF-SET5,5-Piece Knife Set,3,189.0,0.0,567.0
#88065,2025-01-08,Shopify,VS-ST-8QT,8qt Stainless Stockpot,3,129.0,0.0,387.0
#88066,2025-01-18,Amazon,VS-KNF-CHEF,8in Chef Knife,1,65.0,0.0,65.0
#88066,2025-01-18,Amazon,VS-CI-12,12in Cast Iron Skillet,1,95.0,0.0,95.0
#88066,2025-01-18,Amazon,VS-ST-3QT,3qt Stainless Saucepan,2,74.0,0.0,148.0
#88066,2025-01-18,Amazon,VS-KNF-SET5,5-Piece Knife Set,1,189.0,0.1,170.1
#88067,2025-01-03,Wholesale,VS-CI-12,12in Cast Iron Skillet,24,95.0,0.45,1254.0
#88067,2025-01-03,Wholesale,VS-ST-3QT,3qt Stainless Saucepan,12,74.0,0.45,488.4
#88067,2025-01-03,Wholesale,VS-ST-3QT,3qt Stainless Saucepan,6,74.0,0.45,244.2
#88068,2025-01-17,Shopify,VS-UTN-SET,6-Piece Utensil Set,1,59.0,0.15,50.15
#88069,2025-01-11,Shopify,VS-CI-10,10in Cast Iron Skillet,2,79.0,0.0,158.0
#88070,2025-01-14,Shopify,VS-BAK-SHT,Half Sheet Baking Pan (2pk),1,39.0,0.0,39.0
#88070,2025-01-14,Shopify,VS-ST-8QT,8qt Stainless Stockpot,2,129.0,0.2,206.4
#88071,2025-01-30,Amazon,VS-CI-12,12in Cast Iron Skillet,1,95.0,0.0,95.0
#88071,2025-01-30,Amazon,VS-KNF-SET5,5-Piece Knife Set,1,189.0,0.0,189.0
#88071,2025-01-30,Amazon,VS-CB-WAL,Walnut Cutting Board,2,68.0,0.0,136.0
#88072,2025-01-30,Shopify,VS-ST-8QT,8qt Stainless Stockpot,2,129.0,0.2,206.4
#88072,2025-01-30,Shopify,VS-ST-8QT,8qt Stainless Stockpot,3,129.0,0.0,387.0
#88073,2025-01-12,Wholesale,VS-ST-3QT,3qt Stainless Saucepan,12,74.0,0.45,488.4
#88074,2025-01-29,Shopify,VS-CI-12,12in Cast Iron Skillet,2,95.0,0.0,190.0
#88074,2025-01-29,Shopify,VS-CB-MAP,Maple Cutting Board,1,58.0,0.0,58.0
#88074,2025-01-29,Shopify,VS-UTN-SET,6-Piece Utensil Set,1,59.0,0.15,50.15
#88075,2025-01-26,Amazon,VS-KNF-CHEF,8in Chef Knife,2,65.0,0.0,130.0
#88076,2025-01-19,Shopify,VS-CB-WAL,Walnut Cutting Board,1,68.0,0.0,68.0
#88076,2025-01-19,Shopify,VS-MUG-SET,Ceramic Mug Set of 4,1,42.0,0.0,42.0
#88077,2025-01-28,Shopify,VS-UTN-SET,6-Piece Utensil Set,2,59.0,0.2,94.4
#88077,2025-01-28,Shopify,VS-MUG-SET,Ceramic Mug Set of 4,1,42.0,0.0,42.0
#88077,2025-01-28,Shopify,VS-MUG-SET,Ceramic Mug Set of 4,2,42.0,0.0,84.0
#88077,2025-01-28,Shopify,VS-KNF-CHEF,8in Chef Knife,1,65.0,0.0,65.0
#88078,2025-01-19,Wholesale,VS-ST-8QT,8qt Stainless Stockpot,24,129.0,0.45,1702.8
#88078,2025-01-19,Wholesale,VS-KTL-ST,Stovetop Kettle,24,69.0,0.45,910.8
#88078,2025-01-19,Wholesale,VS-MUG-SET,Ceramic Mug Set of 4,6,42.0,0.45,138.6
#88078,2025-01-19,Wholesale,VS-UTN-SET,6-Piece Utensil Set,6,59.0,0.45,194.7
#88079,2025-01-25,Amazon,VS-CB-WAL,Walnut Cutting Board,3,68.0,0.15,173.4
#88079,2025-01-25,Amazon,VS-UTN-SET,6-Piece Utensil Set,1,59.0,0.0,59.0
#88079,2025-01-25,Amazon,VS-KNF-CHEF,8in Chef Knife,2,65.0,0.0,130.0
#88080,2025-01-11,Amazon,VS-MUG-SET,Ceramic Mug Set of 4,1,42.0,0.0,42.0
#88081,2025-01-23,Shopify,VS-ST-8QT,8qt Stainless Stockpot,2,129.0,0.0,258.0
#88082,2025-01-13,Shopify,VS-BAK-SHT,Half Sheet Baking Pan (2pk),2,39.0,0.0,78.0
#88082,2025-01-13,Shopify,VS-CB-MAP,Maple Cutting Board,1,58.0,0.0,58.0
#88083,2025-01-24,Shopify,VS-CB-WAL,Walnut Cutting Board,1,68.0,0.0,68.0
#88083,2025-01-24,Shopify,VS-CI-12,12in Cast Iron Skillet,1,95.0,0.0,95.0
#88083,2025-01-24,Shopify,VS-CI-12,12in Cast Iron Skillet,1,95.0,0.15,80.75
#88084,2025-01-19,Shopify,VS-UTN-SET,6-Piece Utensil Set,1,59.0,0.0,59.0
#88085,2025-01-05,Shopify,VS-UTN-SET,6-Piece Utensil Set,2,59.0,0.0,118.0
#88086,2025-01-26,Shopify,VS-MUG-SET,Ceramic Mug Set of 4,3,42.0,0.15,107.1
#88086,2025-01-26,Shopify,VS-ST-3QT,3qt Stainless Saucepan,1,74.0,0.0,74.0
#88087,2025-01-03,Amazon,VS-ST-8QT,8qt Stainless Stockpot,3,129.0,0.0,387.0
#88087,2025-01-03,Amazon,VS-UTN-SET,6-Piece Utensil Set,2,59.0,0.0,118.0
#88088,2025-01-01,Shopify,VS-CI-10,10in Cast Iron Skillet,2,79.0,0.0,158.0
#88089,2025-01-08,Shopify,VS-CI-10,10in Cast Iron Skillet,3,79.0,0.0,237.0
#88090,2025-01-04,Shopify,VS-MUG-SET,Ceramic Mug Set of 4,2,42.0,0.0,84.0
#88091,2025-01-28,Wholesale,VS-UTN-SET,6-Piece Utensil Set,6,59.0,0.45,194.7
#88091,2025-01-28,Wholesale,VS-ST-8QT,8qt Stainless Stockpot,24,129.0,0.45,1702.8
#88091,2025-01-28,Wholesale,VS-KTL-ST,Stovetop Kettle,24,69.0,0.45,910.8
#88092,2025-01-10,Shopify,VS-CI-12,12in Cast Iron Skillet,3,95.0,0.0,285.0
#88093,2025-01-12,Shopify,VS-CI-12,12in Cast Iron Skillet,2,95.0,0.0,190.0
#88093,2025-01-12,Shopify,VS-ST-3QT,3qt Stainless Saucepan,1,74.0,0.0,74.0
#88094,2025-01-31,Wholesale,VS-CI-10,10in Cast Iron Skillet,6,79.0,0.45,260.7
#88095,2025-01-31,Shopify,VS-CB-MAP,Maple Cutting Board,2,58.0,0.0,116.0
#88095,2025-01-31,Shopify,VS-BAK-SHT,Half Sheet Baking Pan (2pk),2,39.0,0.0,78.0
#88095,2025-01-31,Shopify,VS-KTL-ST,Stovetop Kettle,1,69.0,0.0,69.0
#88096,2025-01-09,Wholesale,VS-CB-WAL,Walnut Cutting Board,6,68.0,0.45,224.4
#88097,2025-01-13,Amazon,VS-MUG-SET,Ceramic Mug Set of 4,2,42.0,0.0,84.0
#88097,2025-01-13,Amazon,VS-ST-8QT,8qt Stainless Stockpot,1,129.0,0.1,116.1
#88097,2025-01-13,Amazon,VS-KNF-CHEF,8in Chef Knife,1,65.0,0.0,65.0
#88097,2025-01-13,Amazon,VS-CI-12,12in Cast Iron Skillet,2,95.0,0.0,190.0
#88098,2025-01-17,Wholesale,VS-KTL-ST,Stovetop Kettle,6,69.0,0.45,227.7
#88098,2025-01-17,Wholesale,VS-KNF-CHEF,8in Chef Knife,12,65.0,0.45,429.0
#88098,2025-01-17,Wholesale,VS-KTL-ST,Stovetop Kettle,6,69.0,0.45,227.7
#88099,2025-01-03,Shopify,VS-CI-10,10in Cast Iron Skillet,1,79.0,0.0,79.0
#88099,2025-01-03,Shopify,VS-CB-MAP,Maple Cutting Board,1,58.0,0.0,58.0
#88099,2025-01-03,Shopify,VS-KNF-SET5,5-Piece Knife Set,1,189.0,0.0,189.0
#88099,2025-01-03,Shopify,VS-KNF-CHEF,8in Chef Knife,2,65.0,0.0,130.0
#88100,2025-01-20,Shopify,VS-CB-MAP,Maple Cutting Board,1,58.0,0.0,58.0
#88100,2025-01-20,Shopify,VS-KTL-ST,Stovetop Kettle,2,69.0,0.0,138.0
#88101,2025-01-22,Amazon,VS-KNF-CHEF,8in Chef Knife,2,65.0,0.0,130.0
#88102,2025-01-15,Wholesale,VS-CI-10,10in Cast Iron Skillet,6,79.0,0.45,260.7
#88102,2025-01-15,Wholesale,VS-MUG-SET,Ceramic Mug Set of 4,6,42.0,0.45,138.6
#88102,2025-01-15,Wholesale,VS-KNF-SET5,5-Piece Knife Set,6,189.0,0.45,623.7
#88102,2025-01-15,Wholesale,VS-CI-10,10in Cast Iron Skillet,24,79.0,0.45,1042.8
#88103,2025-01-14,Amazon,VS-UTN-SET,6-Piece Utensil Set,3,59.0,0.0,177.0
#88104,2025-01-17,Amazon,VS-UTN-SET,6-Piece Utensil Set,1,59.0,0.0,59.0
#88104,2025-01-17,Amazon,VS-KNF-SET5,5-Piece Knife Set,1,189.0,0.0,189.0
#88105,2025-01-03,Shopify,VS-CB-MAP,Maple Cutting Board,1,58.0,0.0,58.0
#88105,2025-01-03,Shopify,VS-CB-MAP,Maple Cutting Board,1,58.0,0.15,49.3
#88106,2025-01-02,Shopify,VS-CB-MAP,Maple Cutting Board,2,58.0,0.0,116.0
#88106,2025-01-02,Shopify,VS-BAK-SHT,Half Sheet Baking Pan (2pk),3,39.0,0.0,117.0
#88106,2025-01-02,Shopify,VS-CB-WAL,Walnut Cutting Board,3,68.0,0.0,204.0
#88106,2025-01-02,Shopify,VS-CB-WAL,Walnut Cutting Board,3,68.0,0.0,204.0
#88107,2025-01-02,Shopify,VS-MUG-SET,Ceramic Mug Set of 4,3,42.0,0.0,126.0
#88107,2025-01-02,Shopify,VS-CI-12,12in Cast Iron Skillet,2,95.0,0.15,161.5
#88108,2025-01-17,Shopify,VS-ST-3QT,3qt Stainless Saucepan,1,74.0,0.0,74.0
#88109,2025-01-19,Amazon,VS-KNF-CHEF,8in Chef Knife,2,65.0,0.0,130.0
#88110,2025-01-02,Shopify,VS-CB-WAL,Walnut Cutting Board,3,68.0,0.0,204.0
#88111,2025-01-03,Shopify,VS-UTN-SET,6-Piece Utensil Set,1,59.0,0.0,59.0
#88112,2025-01-20,Amazon,VS-ST-3QT,3qt Stainless Saucepan,2,74.0,0.0,148.0
#88113,2025-01-06,Shopify,VS-CI-10,10in Cast Iron Skillet,2,79.0,0.15,134.3
#88113,2025-01-06,Shopify,VS-ST-3QT,3qt Stainless Saucepan,2,74.0,0.0,148.0
#88114,2025-01-23,Wholesale,VS-CB-WAL,Walnut Cutting Board,12,68.0,0.45,448.8
#88114,2025-01-23,Wholesale,VS-ST-3QT,3qt Stainless Saucepan,24,74.0,0.45,976.8
#88115,2025-01-10,Shopify,VS-CB-WAL,Walnut Cutting Board,1,68.0,0.0,68.0
#88115,2025-01-10,Shopify,VS-CI-10,10in Cast Iron Skillet,2,79.0,0.0,158.0
#88116,2025-01-01,Amazon,VS-CI-12,12in Cast Iron Skillet,1,95.0,0.0,95.0
#88116,2025-01-01,Amazon,VS-CI-10,10in Cast Iron Skillet,2,79.0,0.0,158.0
#88116,2025-01-01,Amazon,VS-CB-WAL,Walnut Cutting Board,1,68.0,0.0,68.0
#88117,2025-01-02,Wholesale,VS-ST-3QT,3qt Stainless Saucepan,24,74.0,0.45,976.8
#88118,2025-01-29,Shopify,VS-CB-WAL,Walnut Cutting Board,1,68.0,0.2,54.4
#88118,2025-01-29,Shopify,VS-UTN-SET,6-Piece Utensil Set,3,59.0,0.1,159.3
#88118,2025-01-29,Shopify,VS-UTN-SET,6-Piece Utensil Set,1,59.0,0.0,59.0
#88118,2025-01-29,Shopify,VS-BAK-SHT,Half Sheet Baking Pan (2pk),1,39.0,0.0,39.0
#88119,2025-01-21,Amazon,VS-CI-10,10in Cast Iron Skillet,1,79.0,0.0,79.0
#88119,2025-01-21,Amazon,VS-BAK-SHT,Half Sheet Baking Pan (2pk),1,39.0,0.0,39.0
#88119,2025-01-21,Amazon,VS-ST-3QT,3qt Stainless Saucepan,1,74.0,0.0,74.0
#88120,2025-01-22,Amazon,VS-CB-MAP,Maple Cutting Board,1,58.0,0.2,46.4
#88121,2025-01-06,Shopify,VS-ST-8QT,8qt Stainless Stockpot,2,129.0,0.0,258.0
#88122,2025-01-30,Shopify,VS-CI-12,12in Cast Iron Skillet,1,95.0,0.0,95.0
#88122,2025-01-30,Shopify,VS-CI-12,12in Cast Iron Skillet,2,95.0,0.0,190.0
#88122,2025-01-30,Shopify,VS-ST-8QT,8qt Stainless Stockpot,3,129.0,0.0,387.0
#88123,2025-01-01,Wholesale,VS-KNF-CHEF,8in Chef Knife,12,65.0,0.45,429.0
#88123,2025-01-01,Wholesale,VS-ST-8QT,8qt Stainless Stockpot,6,129.0,0.45,425.7
#88123,2025-01-01,Wholesale,VS-CB-MAP,Maple Cutting Board,6,58.0,0.45,191.4
#88124,2025-01-21,Shopify,VS-UTN-SET,6-Piece Utensil Set,2,59.0,0.0,118.0
#88125,2025-01-14,Shopify,VS-MUG-SET,Ceramic Mug Set of 4,1,42.0,0.0,42.0
#88125,2025-01-14,Shopify,VS-ST-3QT,3qt Stainless Saucepan,1,74.0,0.1,66.6
#88125,2025-01-14,Shopify,VS-KNF-SET5,5-Piece Knife Set,1,189.0,0.0,189.0
#88126,2025-01-01,Shopify,VS-ST-3QT,3qt Stainless Saucepan,2,74.0,0.0,148.0
#88126,2025-01-01,Shopify,VS-CB-MAP,Maple Cutting Board,1,58.0,0.0,58.0
#88127,2025-01-27,Amazon,VS-BAK-SHT,Half Sheet Baking Pan (2pk),1,39.0,0.0,39.0
#88127,2025-01-27,Amazon,VS-CB-WAL,Walnut Cutting Board,1,68.0,0.0,68.0
