Date,Entity,TxnType,DocNum,Name,Memo,Account,AccountName,Debit,Credit,Source
2025-01-16,Verve Supply Co.,Sales,SO-9001,Shopify,Monthly sales summary,400,Sales - Online (Shopify),0.0,110157.0,
2025-01-20,Verve Supply Co.,Journal,PR-9049,Gusto Payroll,Marketing & CS payroll,601,Payroll - Marketing & CS,34983.36,0.0,
2025-01-20,Verve Supply Co.,Bill,BILL-9068,ShipBob,,200,Accounts Payable,0.0,2076.91,
2025-01-20,Verve Supply Co.,Bill,BILL-9067,UPS,,510,Freight & Shipping (COGS),1688.33,0.0,
2025-01-20,Verve Supply Co.,Journal,PR-9049,Gusto Payroll,Payroll taxes,610,Payroll Taxes & Benefits,23646.02,0.0,
2025-01-20,Verve Supply Co.,Journal,PR-9049,Gusto Payroll,G&A payroll,602,Payroll - G&A,38900.0,0.0,
2025-01-20,Verve Supply Co.,Journal,PR-9049,Gusto Payroll,Warehouse & Ops payroll,600,Payroll - Warehouse & Ops,37391.68,0.0,
2025-01-20,Verve Supply Co.,Journal,PR-9049,Gusto Payroll,Payroll clearing,090,Mercury Business Checking,0.0,134921.06,
2025-01-20,Verve Supply Co.,Bill,BILL-9067,UPS,,200,Accounts Payable,0.0,1688.33,
2025-01-20,Verve Supply Co.,Bill,BILL-9068,ShipBob,,510,Freight & Shipping (COGS),2076.91,0.0,
2025-01-24,Verve Supply Co.,Bill,BILL-9065,Meta Platforms,,200,Accounts Payable,0.0,6258.62,
2025-01-24,Verve Supply Co.,Bill,BILL-9065,Meta Platforms,,650,Advertising - Paid Social,6258.62,0.0,
2025-01-25,Verve Supply Co.,Bill,BILL-9066,USPS,,200,Accounts Payable,0.0,2566.15,
2025-01-25,Verve Supply Co.,Bill,BILL-9066,USPS,,510,Freight & Shipping (COGS),2566.15,0.0,
2025-01-26,Verve Supply Co.,Journal,FEE-9004,Shopify/Stripe,Processing fees,091,Stripe/Shopify Payments Clearing,0.0,9698.14,
2025-01-26,Verve Supply Co.,Journal,COGS-9004,,Est. COGS @ 34% of rev (rule of thumb),120,Inventory Asset,0.0,106366.71,
2025-01-26,Verve Supply Co.,Journal,FEE-9004,Shopify/Stripe,Processing fees,520,Merchant Processing Fees (COGS),9698.14,0.0,
2025-01-26,Verve Supply Co.,Journal,COGS-9004,,Est. COGS @ 34% of rev (rule of thumb),500,Cost of Goods Sold,106366.71,0.0,
2025-01-27,Verve Supply Co.,Journal,DEP-0,,Monthly depreciation,165,Accumulated Depreciation,0.0,1439.8,
2025-01-27,Verve Supply Co.,Journal,DEP-0,,Monthly depreciation,800,Depreciation,1439.8,0.0,
2025-01-29,Verve Supply Co.,Journal,JE-MANUAL-0-0,Jenna Ruiz,TO ADJUST,750,Miscellaneous Expense,0.0,10057.25,"Manual, no attachment"
2025-01-29,Verve Supply Co.,Bill,BILL-9064,"Pacific Fulfillment, LLC",,510,Freight & Shipping (COGS),7005.69,0.0,
2025-01-29,Verve Supply Co.,Bill,BILL-9064,"Pacific Fulfillment, LLC",,200,Accounts Payable,0.0,7005.69,
2025-01-29,Verve Supply Co.,Journal,JE-MANUAL-0-0,Jenna Ruiz,TO ADJUST,140,Prepaid Expenses,10057.25,0.0,"Manual, no attachment"
2025-02-01,Verve Supply Co.,Bill,BILL-9071,Uline,,200,Accounts Payable,0.0,573.27,
2025-02-01,Verve Supply Co.,Bill,BILL-9071,Uline,,680,Office Supplies,573.27,0.0,
2025-02-02,Verve Supply Co.,Bill,BILL-9080,Bright Packaging,,500,Cost of Goods Sold,4745.36,0.0,
2025-02-02,Verve Supply Co.,Bill,BILL-9080,Bright Packaging,,200,Accounts Payable,0.0,4745.36,
2025-02-02,Verve Supply Co.,Sales,SO-9006,Amazon,Monthly sales summary,091,Stripe/Shopify Payments Clearing,58306.2,0.0,
2025-02-02,Verve Supply Co.,Sales,SO-9006,Amazon,Monthly sales summary,401,Sales - Amazon,0.0,58306.2,
2025-02-03,Verve Supply Co.,Sales,SO-9007,Wholesale,Monthly sales summary,402,Sales - Wholesale,0.0,146193.3,
2025-02-03,Verve Supply Co.,Sales,SO-9007,Wholesale,Monthly sales summary,110,Accounts Receivable,146193.3,0.0,
2025-02-06,Verve Supply Co.,Payment,PMT-9008,Wholesale Customers,Wholesale AR collections,090,Mercury Business Checking,125102.2,0.0,
2025-02-06,Verve Supply Co.,Payment,PMT-9008,Wholesale Customers,Wholesale AR collections,110,Accounts Receivable,0.0,125102.2,
2025-02-07,Verve Supply Co.,Bill,BILL-9073,Foundry Ad Agency,,200,Accounts Payable,0.0,7366.07,
2025-02-07,Verve Supply Co.,Bill,BILL-9073,Foundry Ad Agency,,660,Software & Subscriptions,7366.07,0.0,
2025-02-09,Verve Supply Co.,Journal,COGS-9008,,Est. COGS @ 34% of rev (rule of thumb),500,Cost of Goods Sold,111555.29,0.0,
2025-02-09,Verve Supply Co.,Journal,COGS-9008,,Est. COGS @ 34% of rev (rule of thumb),120,Inventory Asset,0.0,111555.29,
2025-02-09,Verve Supply Co.,Journal,FEE-9008,Shopify/Stripe,Processing fees,520,Merchant Processing Fees (COGS),10171.22,0.0,
2025-02-09,Verve Supply Co.,Journal,FEE-9008,Shopify/Stripe,Processing fees,091,Stripe/Shopify Payments Clearing,0.0,10171.22,
2025-02-10,Verve Supply Co.,Bill,BILL-9072,BRIGHT PACKAGING CO.,,200,Accounts Payable,0.0,2196.3,
2025-02-10,Verve Supply Co.,Bill,BILL-9072,BRIGHT PACKAGING CO.,,500,Cost of Goods Sold,2196.3,0.0,
2025-02-12,Verve Supply Co.,Bill,BILL-9070,Pacific Fulfillment LLC,,200,Accounts Payable,0.0,11343.11,
2025-02-12,Verve Supply Co.,Bill,BILL-9070,Pacific Fulfillment LLC,,510,Freight & Shipping (COGS),11343.11,0.0,
2025-02-14,Verve Supply Co.,Bill,BILL-9077,Bright Packaging,,500,Cost of Goods Sold,3887.21,0.0,
2025-02-14,Verve Supply Co.,Bill,BILL-9077,Bright Packaging,,200,Accounts Payable,0.0,3887.21,
2025-02-15,Verve Supply Co.,Bill,BILL-9081,Pacific Fulfillment,,510,Freight & Shipping (COGS),5826.38,0.0,
2025-02-15,Verve Supply Co.,Bill,BILL-9079,Grainger,,200,Accounts Payable,0.0,400.39,
2025-02-15,Verve Supply Co.,Bill,BILL-9079,Grainger,,750,Miscellaneous Expense,400.39,0.0,
2025-02-15,Verve Supply Co.,Bill,BILL-9081,Pacific Fulfillment,,200,Accounts Payable,0.0,5826.38,
2025-02-16,Verve Supply Co.,Sales,SO-9005,Shopify,Monthly sales summary,091,Stripe/Shopify Payments Clearing,123604.3,0.0,
2025-02-16,Verve Supply Co.,Bill,BILL-9075,Uline,,200,Accounts Payable,0.0,699.68,
2025-02-16,Verve Supply Co.,Bill,BILL-9075,Uline,,750,Miscellaneous Expense,699.68,0.0,
2025-02-16,Verve Supply Co.,Sales,SO-9005,Shopify,Monthly sales summary,400,Sales - Online (Shopify),0.0,123604.3,
2025-02-18,Verve Supply Co.,Bill,BILL-9074,Pacific Fulfillment,,200,Accounts Payable,0.0,9072.55,
2025-02-18,Verve Supply Co.,Bill,BILL-9074,Pacific Fulfillment,,510,Freight & Shipping (COGS),9072.55,0.0,
2025-02-20,Verve Supply Co.,Journal,PR-9050,Gusto Payroll,Marketing & CS payroll,601,Payroll - Marketing & CS,34983.36,0.0,
2025-02-20,Verve Supply Co.,Journal,PR-9050,Gusto Payroll,G&A payroll,602,Payroll - G&A,49883.34,0.0,
2025-02-20,Verve Supply Co.,Transfer,SWEEP-9008,Shopify Payouts,Payout swept to bank,091,Stripe/Shopify Payments Clearing,0.0,176271.27,
2025-02-20,Verve Supply Co.,Journal,PR-9050,Gusto Payroll,Warehouse & Ops payroll,600,Payroll - Warehouse & Ops,40625.02,0.0,
2025-02-20,Verve Supply Co.,Transfer,SWEEP-9008,Shopify Payouts,Payout swept to bank,090,Mercury Business Checking,176271.27,0.0,
2025-02-20,Verve Supply Co.,Journal,PR-9050,Gusto Payroll,Payroll clearing,090,Mercury Business Checking,0.0,152158.8,
2025-02-20,Verve Supply Co.,Journal,PR-9050,Gusto Payroll,Payroll taxes,610,Payroll Taxes & Benefits,26667.08,0.0,
2025-02-22,Verve Supply Co.,Bill,BILL-9076,Uline,,200,Accounts Payable,0.0,823.41,
2025-02-22,Verve Supply Co.,Bill,BILL-9076,Uline,,750,Miscellaneous Expense,823.41,0.0,
2025-02-24,Verve Supply Co.,Bill,BILL-9078,Acme Corp,,500,Cost of Goods Sold,6990.31,0.0,
2025-02-24,Verve Supply Co.,Journal,JE-MANUAL-1-2,Priya Natarajan,per Sarah,120,Inventory Asset,0.0,1127.19,"Manual, no attachment"
2025-02-24,Verve Supply Co.,Journal,JE-MANUAL-1-2,Priya Natarajan,per Sarah,140,Prepaid Expenses,1127.19,0.0,"Manual, no attachment"
2025-02-24,Verve Supply Co.,Bill,BILL-9078,Acme Corp,,200,Accounts Payable,0.0,6990.31,
2025-02-25,Verve Supply Co.,Journal,JE-MANUAL-1-4,Priya Natarajan,adj per bank rec,120,Inventory Asset,0.0,7086.23,"Manual, no attachment"
2025-02-25,Verve Supply Co.,Journal,JE-MANUAL-1-4,Priya Natarajan,adj per bank rec,120,Inventory Asset,7086.23,0.0,"Manual, no attachment"
2025-02-27,Verve Supply Co.,Journal,DEP-1,,Monthly depreciation,165,Accumulated Depreciation,0.0,1385.32,
2025-02-27,Verve Supply Co.,Journal,DEP-1,,Monthly depreciation,800,Depreciation,1385.32,0.0,
2025-02-28,Verve Supply Co.,Bill,BILL-9069,Pacific Fulfillment LLC,,510,Freight & Shipping (COGS),9706.63,0.0,
2025-02-28,Verve Supply Co.,Bill,BILL-9069,Pacific Fulfillment LLC,,200,Accounts Payable,0.0,9706.63,
2025-03-01,Verve Supply Co.,Journal,JE-MANUAL-2-10,Priya Natarajan,balance plug,110,Accounts Receivable,0.0,4105.19,"Manual, no attachment"
2025-03-01,Verve Supply Co.,Journal,JE-MANUAL-2-10,Priya Natarajan,balance plug,140,Prepaid Expenses,4105.19,0.0,"Manual, no attachment"
2025-03-01,Verve Supply Co.,Bill,BILL-9083,Meta Platforms,,660,Software & Subscriptions,6749.59,0.0,
2025-03-01,Verve Supply Co.,Bill,BILL-9083,Meta Platforms,,200,Accounts Payable,0.0,6749.59,
2025-03-02,Verve Supply Co.,Transfer,SWEEP-9012,Shopify Payouts,Payout swept to bank,091,Stripe/Shopify Payments Clearing,0.0,175120.1,
2025-03-02,Verve Supply Co.,Bill,BILL-9088,UPS,,510,Freight & Shipping (COGS),2522.09,0.0,
2025-03-02,Verve Supply Co.,Transfer,SWEEP-9012,Shopify Payouts,Payout swept to bank,090,Mercury Business Checking,175120.1,0.0,
2025-03-02,Verve Supply Co.,Bill,BILL-9088,UPS,,200,Accounts Payable,0.0,2522.09,
2025-03-07,Verve Supply Co.,Bill,BILL-9089,Meta Ads,,200,Accounts Payable,0.0,3592.66,
2025-03-07,Verve Supply Co.,Bill,BILL-9089,Meta Ads,,651,Advertising - Paid Search,3592.66,0.0,
2025-03-08,Verve Supply Co.,Sales,SO-9011,Wholesale,Monthly sales summary,402,Sales - Wholesale,0.0,159885.0,
2025-03-08,Verve Supply Co.,Sales,SO-9011,Wholesale,Monthly sales summary,110,Accounts Receivable,159885.0,0.0,
2025-03-09,Verve Supply Co.,Bill,BILL-9082,BRIGHT PACKAGING CO.,,500,Cost of Goods Sold,4885.35,0.0,
2025-03-09,Verve Supply Co.,Payment,PMT-9012,Wholesale Customers,Wholesale AR collections,110,Accounts Receivable,0.0,146892.24,
2025-03-09,Verve Supply Co.,Bill,BILL-9082,BRIGHT PACKAGING CO.,,200,Accounts Payable,0.0,4885.35,
2025-03-09,Verve Supply Co.,Payment,PMT-9012,Wholesale Customers,Wholesale AR collections,090,Mercury Business Checking,146892.24,0.0,
2025-03-12,Verve Supply Co.,Sales,SO-9009,Shopify,Monthly sales summary,091,Stripe/Shopify Payments Clearing,125375.95,0.0,
2025-03-12,Verve Supply Co.,Sales,SO-9009,Shopify,Monthly sales summary,400,Sales - Online (Shopify),0.0,125375.95,
2025-03-13,Verve Supply Co.,Journal,JE-MANUAL-2-8,Priya Natarajan,temp - revisit,750,Miscellaneous Expense,0.0,8617.41,"Manual, no attachment"
2025-03-13,Verve Supply Co.,Journal,JE-MANUAL-2-8,Priya Natarajan,temp - revisit,750,Miscellaneous Expense,8617.41,0.0,"Manual, no attachment"
2025-03-15,Verve Supply Co.,Bill,BILL-9086,BRIGHT PACKAGING CO.,,500,Cost of Goods Sold,4148.22,0.0,
2025-03-15,Verve Supply Co.,Bill,BILL-9086,BRIGHT PACKAGING CO.,,200,Accounts Payable,0.0,4148.22,
2025-03-16,Verve Supply Co.,Bill,BILL-9084,Grainger,,680,Office Supplies,274.85,0.0,
2025-03-16,Verve Supply Co.,Bill,BILL-9084,Grainger,,200,Accounts Payable,0.0,274.85,
2025-03-17,Verve Supply Co.,Bill,BILL-9087,Pacific Fulfillment LLC,,510,Freight & Shipping (COGS),4872.3,0.0,
2025-03-17,Verve Supply Co.,Bill,BILL-9087,Pacific Fulfillment LLC,,200,Accounts Payable,0.0,4872.3,
2025-03-19,Verve Supply Co.,Bill,BILL-9085,Uline,,200,Accounts Payable,0.0,1155.74,
2025-03-19,Verve Supply Co.,Bill,BILL-9085,Uline,,680,Office Supplies,1155.74,0.0,
2025-03-19,Verve Supply Co.,Journal,JE-MANUAL-2-6,Priya Natarajan,correcting entry - see email,750,Miscellaneous Expense,0.0,10319.76,"Manual, no attachment"
2025-03-19,Verve Supply Co.,Journal,JE-MANUAL-2-6,Priya Natarajan,correcting entry - see email,140,Prepaid Expenses,10319.76,0.0,"Manual, no attachment"
2025-03-20,Verve Supply Co.,Journal,PR-9051,Gusto Payroll,Marketing & CS payroll,601,Payroll - Marketing & CS,34983.36,0.0,
2025-03-20,Verve Supply Co.,Journal,PR-9051,Gusto Payroll,G&A payroll,602,Payroll - G&A,49883.34,0.0,
2025-03-20,Verve Supply Co.,Journal,PR-9051,Gusto Payroll,Payroll taxes,610,Payroll Taxes & Benefits,26667.08,0.0,
2025-03-20,Verve Supply Co.,Journal,PR-9051,Gusto Payroll,Payroll clearing,090,Mercury Business Checking,0.0,152158.8,
2025-03-20,Verve Supply Co.,Journal,PR-9051,Gusto Payroll,Warehouse & Ops payroll,600,Payroll - Warehouse & Ops,40625.02,0.0,
2025-03-22,Verve Supply Co.,Journal,FEE-9012,Shopify/Stripe,Processing fees,520,Merchant Processing Fees (COGS),10558.83,0.0,
2025-03-22,Verve Supply Co.,Journal,COGS-9012,,Est. COGS @ 34% of rev (rule of thumb),120,Inventory Asset,0.0,115806.55,
2025-03-22,Verve Supply Co.,Journal,COGS-9012,,Est. COGS @ 34% of rev (rule of thumb),500,Cost of Goods Sold,115806.55,0.0,
2025-03-22,Verve Supply Co.,Journal,FEE-9012,Shopify/Stripe,Processing fees,091,Stripe/Shopify Payments Clearing,0.0,10558.83,
2025-03-25,Verve Supply Co.,Journal,IC-3,Northbridge Collective,Intercompany interest,250,Due to Northbridge Collective (Intercompany),0.0,4399.37,
2025-03-25,Verve Supply Co.,Sales,SO-9010,Amazon,Monthly sales summary,401,Sales - Amazon,0.0,55346.55,
2025-03-25,Verve Supply Co.,Journal,IC-3,Northbridge Collective,Intercompany interest,900,Interest Expense,4399.37,0.0,
2025-03-25,Verve Supply Co.,Sales,SO-9010,Amazon,Monthly sales summary,091,Stripe/Shopify Payments Clearing,55346.55,0.0,
2025-03-27,Verve Supply Co.,Journal,DEP-2,,Monthly depreciation,800,Depreciation,1391.84,0.0,
2025-03-27,Verve Supply Co.,Journal,DEP-2,,Monthly depreciation,165,Accumulated Depreciation,0.0,1391.84,
2025-04-02,Verve Supply Co.,Bill,BILL-9090,UPS,,510,Freight & Shipping (COGS),944.64,0.0,
2025-04-02,Verve Supply Co.,Bill,BILL-9090,UPS,,200,Accounts Payable,0.0,944.64,
2025-04-04,Verve Supply Co.,Bill,BILL-9094,UPS,,200,Accounts Payable,0.0,1808.26,
2025-04-04,Verve Supply Co.,Bill,BILL-9094,UPS,,510,Freight & Shipping (COGS),1808.26,0.0,
2025-04-07,Verve Supply Co.,Journal,JE-MANUAL-3-12,Jenna Ruiz,clean up,750,Miscellaneous Expense,0.0,10180.16,"Manual, no attachment"
2025-04-07,Verve Supply Co.,Journal,JE-MANUAL-3-12,Jenna Ruiz,clean up,140,Prepaid Expenses,10180.16,0.0,"Manual, no attachment"
2025-04-10,Verve Supply Co.,Transfer,SWEEP-9016,Shopify Payouts,Payout swept to bank,091,Stripe/Shopify Payments Clearing,0.0,192987.54,
2025-04-10,Verve Supply Co.,Transfer,SWEEP-9016,Shopify Payouts,Payout swept to bank,090,Mercury Business Checking,192987.54,0.0,
2025-04-11,Verve Supply Co.,Journal,COGS-9016,,Est. COGS @ 34% of rev (rule of thumb),120,Inventory Asset,0.0,115053.23,
2025-04-11,Verve Supply Co.,Journal,FEE-9016,Shopify/Stripe,Processing fees,520,Merchant Processing Fees (COGS),10490.15,0.0,
2025-04-11,Verve Supply Co.,Journal,FEE-9016,Shopify/Stripe,Processing fees,091,Stripe/Shopify Payments Clearing,0.0,10490.15,
2025-04-11,Verve Supply Co.,Journal,COGS-9016,,Est. COGS @ 34% of rev (rule of thumb),500,Cost of Goods Sold,115053.23,0.0,
2025-04-14,Verve Supply Co.,Bill,BILL-9093,Bright Packaging Co,,500,Cost of Goods Sold,4489.19,0.0,
2025-04-14,Verve Supply Co.,Bill,BILL-9093,Bright Packaging Co,,200,Accounts Payable,0.0,4489.19,
2025-04-20,Verve Supply Co.,Journal,PR-9052,Gusto Payroll,Warehouse & Ops payroll,600,Payroll - Warehouse & Ops,45050.02,0.0,
2025-04-20,Verve Supply Co.,Sales,SO-9014,Amazon,Monthly sales summary,091,Stripe/Shopify Payments Clearing,62846.8,0.0,
2025-04-20,Verve Supply Co.,Journal,PR-9052,Gusto Payroll,Marketing & CS payroll,601,Payroll - Marketing & CS,49466.7,0.0,
2025-04-20,Verve Supply Co.,Journal,PR-9052,Gusto Payroll,Payroll clearing,090,Mercury Business Checking,0.0,175085.18,
2025-04-20,Verve Supply Co.,Journal,PR-9052,Gusto Payroll,Payroll taxes,610,Payroll Taxes & Benefits,30685.12,0.0,
2025-04-20,Verve Supply Co.,Sales,SO-9014,Amazon,Monthly sales summary,401,Sales - Amazon,0.0,62846.8,
2025-04-20,Verve Supply Co.,Journal,PR-9052,Gusto Payroll,G&A payroll,602,Payroll - G&A,49883.34,0.0,
2025-04-22,Verve Supply Co.,Sales,SO-9013,Shopify,Monthly sales summary,091,Stripe/Shopify Payments Clearing,136314.75,0.0,
2025-04-22,Verve Supply Co.,Sales,SO-9013,Shopify,Monthly sales summary,400,Sales - Online (Shopify),0.0,136314.75,
2025-04-23,Verve Supply Co.,Bill,BILL-9095,Pacific Fulfillment LLC,,510,Freight & Shipping (COGS),7747.48,0.0,
2025-04-23,Verve Supply Co.,Bill,BILL-9095,Pacific Fulfillment LLC,,200,Accounts Payable,0.0,7747.48,
2025-04-25,Verve Supply Co.,Bill,BILL-9091,Bright Packaging,,500,Cost of Goods Sold,2903.73,0.0,
2025-04-25,Verve Supply Co.,Bill,BILL-9091,Bright Packaging,,200,Accounts Payable,0.0,2903.73,
2025-04-27,Verve Supply Co.,Journal,DEP-3,,Monthly depreciation,800,Depreciation,1443.53,0.0,
2025-04-27,Verve Supply Co.,Journal,DEP-3,,Monthly depreciation,165,Accumulated Depreciation,0.0,1443.53,
2025-04-27,Verve Supply Co.,Sales,SO-9015,Wholesale,Monthly sales summary,110,Accounts Receivable,139230.3,0.0,
2025-04-27,Verve Supply Co.,Sales,SO-9015,Wholesale,Monthly sales summary,402,Sales - Wholesale,0.0,139230.3,
2025-04-28,Verve Supply Co.,Payment,PMT-9016,Wholesale Customers,Wholesale AR collections,090,Mercury Business Checking,112982.62,0.0,
2025-04-28,Verve Supply Co.,Payment,PMT-9016,Wholesale Customers,Wholesale AR collections,110,Accounts Receivable,0.0,112982.62,
2025-04-28,Verve Supply Co.,Journal,JE-MANUAL-3-14,Jenna Ruiz,rounding,140,Prepaid Expenses,5666.59,0.0,"Manual, no attachment"
2025-04-28,Verve Supply Co.,Journal,JE-MANUAL-3-14,Jenna Ruiz,rounding,390,Retained Earnings,0.0,5666.59,"Manual, no attachment"
2025-04-29,Verve Supply Co.,Bill,BILL-9097,Foundry Ad Agency,,200,Accounts Payable,0.0,2271.32,
2025-04-29,Verve Supply Co.,Bill,BILL-9097,Foundry Ad Agency,,651,Advertising - Paid Search,2271.32,0.0,
2025-04-30,Verve Supply Co.,Bill,BILL-9092,USPS,,510,Freight & Shipping (COGS),3077.39,0.0,
2025-04-30,Verve Supply Co.,Bill,BILL-9092,USPS,,200,Accounts Payable,0.0,3077.39,
2025-04-30,Verve Supply Co.,Bill,BILL-9096,Bright Packaging Co,,500,Cost of Goods Sold,2346.0,0.0,
2025-04-30,Verve Supply Co.,Bill,BILL-9096,Bright Packaging Co,,200,Accounts Payable,0.0,2346.0,
2025-05-01,Verve Supply Co.,Transfer,SWEEP-9020,Shopify Payouts,Payout swept to bank,091,Stripe/Shopify Payments Clearing,0.0,192515.69,
2025-05-01,Verve Supply Co.,Transfer,SWEEP-9020,Shopify Payouts,Payout swept to bank,090,Mercury Business Checking,192515.69,0.0,
2025-05-03,Verve Supply Co.,Bill,BILL-9103,Meta Ads,,200,Accounts Payable,0.0,7374.33,
2025-05-03,Verve Supply Co.,Bill,BILL-9103,Meta Ads,,650,Advertising - Paid Social,7374.33,0.0,
2025-05-05,Verve Supply Co.,Sales,SO-9019,Wholesale,Monthly sales summary,402,Sales - Wholesale,0.0,164815.2,
2025-05-05,Verve Supply Co.,Sales,SO-9019,Wholesale,Monthly sales summary,110,Accounts Receivable,164815.2,0.0,
2025-05-06,Verve Supply Co.,Bill,BILL-9098,Acme Corporation,,500,Cost of Goods Sold,14616.18,0.0,
2025-05-06,Verve Supply Co.,Bill,BILL-9098,Acme Corporation,,200,Accounts Payable,0.0,14616.18,
2025-05-09,Verve Supply Co.,Sales,SO-9017,Shopify,Monthly sales summary,091,Stripe/Shopify Payments Clearing,131200.95,0.0,
2025-05-09,Verve Supply Co.,Bill,BILL-9102,UPS,,510,Freight & Shipping (COGS),2318.86,0.0,
2025-05-09,Verve Supply Co.,Sales,SO-9017,Shopify,Monthly sales summary,400,Sales - Online (Shopify),0.0,131200.95,
2025-05-09,Verve Supply Co.,Bill,BILL-9109,Pacific Fulfillment,,200,Accounts Payable,0.0,6277.08,
2025-05-09,Verve Supply Co.,Bill,BILL-9102,UPS,,200,Accounts Payable,0.0,2318.86,
2025-05-09,Verve Supply Co.,Bill,BILL-9109,Pacific Fulfillment,,510,Freight & Shipping (COGS),6277.08,0.0,
2025-05-10,Verve Supply Co.,Bill,BILL-9101,Acme Corp,,500,Cost of Goods Sold,22505.13,0.0,
2025-05-10,Verve Supply Co.,Bill,BILL-9101,Acme Corp,,200,Accounts Payable,0.0,22505.13,
2025-05-10,Verve Supply Co.,Bill,BILL-9107,FedEx,,510,Freight & Shipping (COGS),2487.76,0.0,
2025-05-10,Verve Supply Co.,Bill,BILL-9100,Grainger,,200,Accounts Payable,0.0,1195.55,
2025-05-10,Verve Supply Co.,Sales,SO-9018,Amazon,Monthly sales summary,091,Stripe/Shopify Payments Clearing,67473.65,0.0,
2025-05-10,Verve Supply Co.,Sales,SO-9018,Amazon,Monthly sales summary,401,Sales - Amazon,0.0,67473.65,
2025-05-10,Verve Supply Co.,Bill,BILL-9107,FedEx,,200,Accounts Payable,0.0,2487.76,
2025-05-10,Verve Supply Co.,Bill,BILL-9100,Grainger,,750,Miscellaneous Expense,1195.55,0.0,
2025-05-12,Verve Supply Co.,Bill,BILL-9105,Google Ads,,200,Accounts Payable,0.0,5305.51,
2025-05-12,Verve Supply Co.,Bill,BILL-9105,Google Ads,,651,Advertising - Paid Search,5305.51,0.0,
2025-05-14,Verve Supply Co.,Bill,BILL-9106,FedEx,,510,Freight & Shipping (COGS),1489.96,0.0,
2025-05-14,Verve Supply Co.,Bill,BILL-9106,FedEx,,200,Accounts Payable,0.0,1489.96,
2025-05-16,Verve Supply Co.,Journal,JE-MANUAL-4-16,Priya Natarajan,per auditor request (2024),120,Inventory Asset,0.0,6601.99,"Manual, no attachment"
2025-05-16,Verve Supply Co.,Journal,JE-MANUAL-4-16,Priya Natarajan,per auditor request (2024),140,Prepaid Expenses,6601.99,0.0,"Manual, no attachment"
2025-05-18,Verve Supply Co.,Bill,BILL-9099,Bright Packaging,,500,Cost of Goods Sold,4688.3,0.0,
2025-05-18,Verve Supply Co.,Bill,BILL-9099,Bright Packaging,,200,Accounts Payable,0.0,4688.3,
2025-05-20,Verve Supply Co.,Bill,BILL-9104,Bright Packaging,,200,Accounts Payable,0.0,4560.41,
2025-05-20,Verve Supply Co.,Journal,PR-9053,Gusto Payroll,Warehouse & Ops payroll,600,Payroll - Warehouse & Ops,45050.02,0.0,
2025-05-20,Verve Supply Co.,Journal,PR-9053,Gusto Payroll,Payroll taxes,610,Payroll Taxes & Benefits,30685.12,0.0,
2025-05-20,Verve Supply Co.,Bill,BILL-9108,Pacific Fulfillment LLC,,200,Accounts Payable,0.0,11054.81,
2025-05-20,Verve Supply Co.,Journal,PR-9053,Gusto Payroll,Payroll clearing,090,Mercury Business Checking,0.0,175085.18,
2025-05-20,Verve Supply Co.,Journal,PR-9053,Gusto Payroll,Marketing & CS payroll,601,Payroll - Marketing & CS,49466.7,0.0,
2025-05-20,Verve Supply Co.,Journal,PR-9053,Gusto Payroll,G&A payroll,602,Payroll - G&A,49883.34,0.0,
