Date,Entity,TxnType,DocNum,Name,Memo,Account,AccountName,Debit,Credit,Class,Source
2025-01-28,"Northbridge Software, Inc.",Journal,PR-5025,ADP Payroll,Sales & Marketing payroll,6010,Salaries & Wages - Sales & Marketing,89916.68,0.0,,
2025-01-28,"Northbridge Software, Inc.",Journal,PR-5025,ADP Payroll,Customer Support payroll,5010,Customer Support Payroll (COGS),33125.0,0.0,,
2025-01-28,"Northbridge Software, Inc.",Journal,PR-5025,ADP Payroll,Payroll clearing to bank,1000,Chase Business Checking,0.0,446592.14,,
2025-01-28,"Northbridge Software, Inc.",Journal,DEP-0,,Monthly depreciation,1510,Accumulated Depreciation,0.0,1921.32,,
2025-01-28,"Northbridge Software, Inc.",Journal,DEP-0,,Monthly depreciation,7000,Depreciation Expense,1921.32,0.0,,
2025-01-28,"Northbridge Software, Inc.",Journal,PR-5025,ADP Payroll,G&A payroll,6020,Salaries & Wages - G&A,51175.0,0.0,,
2025-02-01,"Northbridge Software, Inc.",Bill,BILL-5059,Staples,,6600,Office Supplies,121.67,0.0,,
2025-02-01,"Northbridge Software, Inc.",Bill,BILL-5050,Travelers Insurance,,6900,Misc Expense,2167.52,0.0,,
2025-02-01,"Northbridge Software, Inc.",Bill,BILL-5059,Staples,,2000,Accounts Payable,0.0,121.67,,
2025-02-01,"Northbridge Software, Inc.",Bill,BILL-5050,Travelers Insurance,,2000,Accounts Payable,0.0,2167.52,,
2025-02-04,"Northbridge Software, Inc.",Bill,BILL-5058,Outreach.io,,2000,Accounts Payable,0.0,1490.22,,
2025-02-04,"Northbridge Software, Inc.",Bill,BILL-5060,Zoom,,2000,Accounts Payable,0.0,1252.75,,
2025-02-04,"Northbridge Software, Inc.",Bill,BILL-5061,Staples,,6600,Office Supplies,42.18,0.0,,
2025-02-04,"Northbridge Software, Inc.",Bill,BILL-5060,Zoom,,6400,Dues & Subscriptions,1252.75,0.0,,
2025-02-04,"Northbridge Software, Inc.",Bill,BILL-5061,Staples,,2000,Accounts Payable,0.0,42.18,,
2025-02-04,"Northbridge Software, Inc.",Bill,BILL-5058,Outreach.io,,6300,Marketing & Advertising,1490.22,0.0,,
2025-02-04,"Northbridge Software, Inc.",Bill,BILL-5004,aws,Hosting,2000,Accounts Payable,0.0,31529.23,,
2025-02-05,"Northbridge Software, Inc.",Bill,BILL-5047,Atlassian,,2000,Accounts Payable,0.0,220.19,,
2025-02-05,"Northbridge Software, Inc.",Bill,BILL-5047,Atlassian,,6410,Computer & Internet Expense,220.19,0.0,,
2025-02-09,"Northbridge Software, Inc.",Payment,PMT-5003,Stripe Collections,Customer payments collected,1200,Accounts Receivable,0.0,271797.05,,
2025-02-09,"Northbridge Software, Inc.",Bill,BILL-5057,Austin Commercial Properties LLC,,6700,Rent Expense,14474.48,0.0,,
2025-02-09,"Northbridge Software, Inc.",Transfer,SWEEP-5003,Stripe,Stripe payout swept to bank,1010,Stripe Clearing,0.0,263914.94,,
2025-02-09,"Northbridge Software, Inc.",Bill,BILL-5062,Sterling & Voss LLP (Legal),,6800,Professional Fees,2586.22,0.0,,
2025-02-09,"Northbridge Software, Inc.",Invoice,INV-5003,Various Customers,Monthly subscription revenue (per Stripe summary),1200,Accounts Receivable,303095.27,0.0,,Manual re-entry
2025-02-09,"Northbridge Software, Inc.",Bill,BILL-5062,Sterling & Voss LLP (Legal),,2000,Accounts Payable,0.0,2586.22,,
2025-02-09,"Northbridge Software, Inc.",Journal,JE-5003,Stripe,Payment processing fees,5020,Payment Processing Fees (COGS),7882.11,0.0,,
2025-02-09,"Northbridge Software, Inc.",Journal,JE-5003,Stripe,Payment processing fees,1010,Stripe Clearing,0.0,7882.11,,
2025-02-09,"Northbridge Software, Inc.",Transfer,SWEEP-5003,Stripe,Stripe payout swept to bank,1000,Chase Business Checking,263914.94,0.0,,
2025-02-09,"Northbridge Software, Inc.",Invoice,INV-5003,Various Customers,Monthly subscription revenue (per Stripe summary),4000,Subscription Revenue,0.0,303095.27,,Manual re-entry
2025-02-09,"Northbridge Software, Inc.",Bill,BILL-5057,Austin Commercial Properties LLC,,2000,Accounts Payable,0.0,14474.48,,
2025-02-09,"Northbridge Software, Inc.",Payment,PMT-5003,Stripe Collections,Customer payments collected,1010,Stripe Clearing,271797.05,0.0,,
2025-02-11,"Northbridge Software, Inc.",Bill,BILL-5052,Staples,,6600,Office Supplies,304.83,0.0,,
2025-02-11,"Northbridge Software, Inc.",Journal,JE-MANUAL-1-8,Jenna Ruiz,reverse prior entry,3900,Retained Earnings,0.0,8496.48,,"Manual, no attachment"
2025-02-11,"Northbridge Software, Inc.",Journal,JE-MANUAL-1-8,Jenna Ruiz,reverse prior entry,6901,Misc Expense 2,8496.48,0.0,,"Manual, no attachment"
2025-02-11,"Northbridge Software, Inc.",Bill,BILL-5052,Staples,,2000,Accounts Payable,0.0,304.83,,
2025-02-12,"Northbridge Software, Inc.",Bill,BILL-5049,Travelers Insurance,,2000,Accounts Payable,0.0,2191.16,,
2025-02-12,"Northbridge Software, Inc.",Bill,BILL-5049,Travelers Insurance,,6900,Misc Expense,2191.16,0.0,,
2025-02-13,"Northbridge Software, Inc.",Bill,BILL-5051,Zoom,,6400,Dues & Subscriptions,541.02,0.0,,
2025-02-13,"Northbridge Software, Inc.",Bill,BILL-5051,Zoom,,2000,Accounts Payable,0.0,541.02,,
2025-02-13,"Northbridge Software, Inc.",Journal,JE-MANUAL-1-4,Priya Natarajan,YE adj,1200,Accounts Receivable,0.0,6360.12,,"Manual, no attachment"
2025-02-13,"Northbridge Software, Inc.",Journal,JE-MANUAL-1-4,Priya Natarajan,YE adj,2400,Accrued Expenses,6360.12,0.0,,"Manual, no attachment"
2025-02-15,"Northbridge Software, Inc.",Journal,COMM-5226,Various Reps,Commission accrual,6200,Sales Commissions,8749.65,0.0,,
2025-02-15,"Northbridge Software, Inc.",Journal,COMM-5226,Various Reps,Commission accrual,2400,Accrued Expenses,0.0,8749.65,,
2025-02-17,"Northbridge Software, Inc.",Bill,BILL-5054,Unknown / no receipt,,6900,Misc Expense,836.02,0.0,,
2025-02-17,"Northbridge Software, Inc.",Bill,BILL-5054,Unknown / no receipt,,2000,Accounts Payable,0.0,836.02,,
2025-02-20,"Northbridge Software, Inc.",Bill,BILL-5063,Travelers Insurance,,6900,Misc Expense,2097.6,0.0,,
2025-02-20,"Northbridge Software, Inc.",Bill,BILL-5063,Travelers Insurance,,2000,Accounts Payable,0.0,2097.6,,
2025-02-20,"Northbridge Software, Inc.",Bill,BILL-5056,Austin Commercial Properties LLC,,2000,Accounts Payable,0.0,14164.67,,
2025-02-20,"Northbridge Software, Inc.",Bill,BILL-5056,Austin Commercial Properties LLC,,6700,Rent Expense,14164.67,0.0,,
2025-02-21,"Northbridge Software, Inc.",Bill,BILL-5048,Unknown / no receipt,,6900,Misc Expense,739.32,0.0,,
2025-02-21,"Northbridge Software, Inc.",Bill,BILL-5053,Austin Commercial Properties LLC,,2000,Accounts Payable,0.0,14101.81,,
2025-02-21,"Northbridge Software, Inc.",Bill,BILL-5048,Unknown / no receipt,,2000,Accounts Payable,0.0,739.32,,
2025-02-21,"Northbridge Software, Inc.",Bill,BILL-5053,Austin Commercial Properties LLC,,6700,Rent Expense,14101.81,0.0,,
2025-02-23,"Northbridge Software, Inc.",Bill,BILL-5004,aws,Hosting,5000,Hosting & Infrastructure (COGS),31529.23,0.0,,
2025-02-25,"Northbridge Software, Inc.",Bill,BILL-5064,Outreach.io,,6300,Marketing & Advertising,5422.06,0.0,,
2025-02-25,"Northbridge Software, Inc.",Bill,BILL-5064,Outreach.io,,2000,Accounts Payable,0.0,5422.06,,
2025-02-26,"Northbridge Software, Inc.",Journal,JE-MANUAL-1-6,Jenna Ruiz,n/a,6901,Misc Expense 2,0.0,2807.79,,"Manual, no attachment"
2025-02-26,"Northbridge Software, Inc.",Journal,JE-MANUAL-1-6,Jenna Ruiz,n/a,6900,Misc Expense,2807.79,0.0,,"Manual, no attachment"
2025-02-27,"Northbridge Software, Inc.",Bill,BILL-5055,Sterling & Voss LLP (Legal),,6800,Professional Fees,5187.36,0.0,,
2025-02-27,"Northbridge Software, Inc.",Bill,BILL-5055,Sterling & Voss LLP (Legal),,2000,Accounts Payable,0.0,5187.36,,
2025-02-28,"Northbridge Software, Inc.",Journal,PR-5026,ADP Payroll,G&A payroll,6020,Salaries & Wages - G&A,72116.68,0.0,,
2025-02-28,"Northbridge Software, Inc.",Journal,DEP-1,,Monthly depreciation,7000,Depreciation Expense,1859.2,0.0,,
2025-02-28,"Northbridge Software, Inc.",Journal,DEP-1,,Monthly depreciation,1510,Accumulated Depreciation,0.0,1859.2,,
2025-02-28,"Northbridge Software, Inc.",Journal,PR-5026,ADP Payroll,Engineering payroll,6000,Salaries & Wages - Engineering,174275.02,0.0,,
2025-02-28,"Northbridge Software, Inc.",Journal,PR-5026,ADP Payroll,Sales & Marketing payroll,6010,Salaries & Wages - Sales & Marketing,89916.68,0.0,,
2025-02-28,"Northbridge Software, Inc.",Journal,PR-5026,ADP Payroll,Customer Support payroll,5010,Customer Support Payroll (COGS),33125.0,0.0,,
2025-02-28,"Northbridge Software, Inc.",Journal,PR-5026,ADP Payroll,Payroll clearing to bank,1000,Chase Business Checking,0.0,473428.9,,
2025-02-28,"Northbridge Software, Inc.",Journal,PR-5026,ADP Payroll,Payroll taxes & benefits,6100,Payroll Taxes & Benefits,103995.52,0.0,,
2025-03-05,"Northbridge Software, Inc.",Bill,BILL-5074,GitHub,,2000,Accounts Payable,0.0,544.24,,
2025-03-05,"Northbridge Software, Inc.",Bill,BILL-5074,GitHub,,6410,Computer & Internet Expense,544.24,0.0,,
2025-03-07,"Northbridge Software, Inc.",Bill,BILL-5072,Staples,,6600,Office Supplies,294.8,0.0,,
2025-03-07,"Northbridge Software, Inc.",Bill,BILL-5072,Staples,,2000,Accounts Payable,0.0,294.8,,
2025-03-08,"Northbridge Software, Inc.",Bill,BILL-5077,Amazon Web Services,,2000,Accounts Payable,0.0,56.2,,
2025-03-08,"Northbridge Software, Inc.",Bill,BILL-5077,Amazon Web Services,,6400,Dues & Subscriptions,56.2,0.0,,
2025-03-09,"Northbridge Software, Inc.",Bill,BILL-5067,Slack,,6410,Computer & Internet Expense,453.0,0.0,,
2025-03-09,"Northbridge Software, Inc.",Bill,BILL-5067,Slack,,2000,Accounts Payable,0.0,453.0,,
2025-03-09,"Northbridge Software, Inc.",Bill,BILL-5006,aws,Hosting,2000,Accounts Payable,0.0,35291.46,,
2025-03-10,"Northbridge Software, Inc.",Bill,BILL-5069,Outreach.io,,6300,Marketing & Advertising,3185.91,0.0,,
2025-03-10,"Northbridge Software, Inc.",Bill,BILL-5069,Outreach.io,,2000,Accounts Payable,0.0,3185.91,,
2025-03-11,"Northbridge Software, Inc.",Journal,COMM-5227,Various Reps,Commission accrual,6200,Sales Commissions,8068.93,0.0,,
2025-03-11,"Northbridge Software, Inc.",Journal,COMM-5227,Various Reps,Commission accrual,2400,Accrued Expenses,0.0,8068.93,,
2025-03-13,"Northbridge Software, Inc.",Journal,JE-MANUAL-2-10,Jenna Ruiz,correcting entry - see email,2400,Accrued Expenses,0.0,7411.86,,"Manual, no attachment"
2025-03-13,"Northbridge Software, Inc.",Bill,BILL-5080,GitHub,,6400,Dues & Subscriptions,2242.75,0.0,,
2025-03-13,"Northbridge Software, Inc.",Journal,JE-MANUAL-2-10,Jenna Ruiz,correcting entry - see email,1400,Prepaid Expenses,7411.86,0.0,,"Manual, no attachment"
2025-03-13,"Northbridge Software, Inc.",Bill,BILL-5080,GitHub,,2000,Accounts Payable,0.0,2242.75,,
2025-03-14,"Northbridge Software, Inc.",Bill,BILL-5066,Slack,,2000,Accounts Payable,0.0,261.13,,
2025-03-14,"Northbridge Software, Inc.",Bill,BILL-5066,Slack,,6410,Computer & Internet Expense,261.13,0.0,,
2025-03-16,"Northbridge Software, Inc.",Bill,BILL-5070,Travelers Insurance,,2000,Accounts Payable,0.0,2017.73,,
2025-03-16,"Northbridge Software, Inc.",Bill,BILL-5070,Travelers Insurance,,6900,Misc Expense,2017.73,0.0,,
2025-03-16,"Northbridge Software, Inc.",Journal,JE-MANUAL-2-12,Jenna Ruiz,YE adj,6901,Misc Expense 2,0.0,3057.33,,"Manual, no attachment"
2025-03-16,"Northbridge Software, Inc.",Journal,JE-MANUAL-2-12,Jenna Ruiz,YE adj,1400,Prepaid Expenses,3057.33,0.0,,"Manual, no attachment"
2025-03-17,"Northbridge Software, Inc.",Bill,BILL-5073,Slack,,6410,Computer & Internet Expense,2510.47,0.0,,
2025-03-17,"Northbridge Software, Inc.",Bill,BILL-5073,Slack,,2000,Accounts Payable,0.0,2510.47,,
2025-03-18,"Northbridge Software, Inc.",Bill,BILL-5076,Unknown / no receipt,,6900,Misc Expense,849.01,0.0,,
2025-03-18,"Northbridge Software, Inc.",Bill,BILL-5076,Unknown / no receipt,,2000,Accounts Payable,0.0,849.01,,
2025-03-19,"Northbridge Software, Inc.",Payment,PMT-5005,Stripe Collections,Customer payments collected,1010,Stripe Clearing,352857.87,0.0,,
2025-03-19,"Northbridge Software, Inc.",Transfer,SWEEP-5005,Stripe,Stripe payout swept to bank,1010,Stripe Clearing,0.0,342624.99,,
2025-03-19,"Northbridge Software, Inc.",Payment,PMT-5005,Stripe Collections,Customer payments collected,1200,Accounts Receivable,0.0,352857.87,,
2025-03-19,"Northbridge Software, Inc.",Journal,JE-5005,Stripe,Payment processing fees,1010,Stripe Clearing,0.0,10232.88,,
2025-03-19,"Northbridge Software, Inc.",Invoice,INV-5005,Various Customers,Monthly subscription revenue (per Stripe summary),1200,Accounts Receivable,368142.14,0.0,,Manual re-entry
2025-03-19,"Northbridge Software, Inc.",Transfer,SWEEP-5005,Stripe,Stripe payout swept to bank,1000,Chase Business Checking,342624.99,0.0,,
2025-03-19,"Northbridge Software, Inc.",Journal,JE-5005,Stripe,Payment processing fees,5020,Payment Processing Fees (COGS),10232.88,0.0,,
2025-03-19,"Northbridge Software, Inc.",Invoice,INV-5005,Various Customers,Monthly subscription revenue (per Stripe summary),4000,Subscription Revenue,0.0,368142.14,,Manual re-entry
2025-03-20,"Northbridge Software, Inc.",Bill,BILL-5071,Austin Commercial Properties LLC,,2000,Accounts Payable,0.0,14003.76,,
2025-03-20,"Northbridge Software, Inc.",Bill,BILL-5071,Austin Commercial Properties LLC,,6700,Rent Expense,14003.76,0.0,,
2025-03-25,"Northbridge Software, Inc.",Bill,BILL-5065,Baymark CPAs,,6800,Professional Fees,3402.88,0.0,,
2025-03-25,"Northbridge Software, Inc.",Bill,BILL-5065,Baymark CPAs,,2000,Accounts Payable,0.0,3402.88,,
2025-03-25,"Northbridge Software, Inc.",Journal,IC-3,Northbridge Collective,Intercompany interest,2500,Intercompany - Due to Northbridge Collective,0.0,6672.49,,
2025-03-25,"Northbridge Software, Inc.",Journal,IC-3,Northbridge Collective,Intercompany interest,8000,Interest Expense,6672.49,0.0,,
2025-03-26,"Northbridge Software, Inc.",Bill,BILL-5078,United Airlines,,2000,Accounts Payable,0.0,851.75,,
2025-03-26,"Northbridge Software, Inc.",Bill,BILL-5078,United Airlines,,6500,Travel & Entertainment,851.75,0.0,,
2025-03-26,"Northbridge Software, Inc.",Bill,BILL-5075,Baymark CPAs,,6800,Professional Fees,5715.75,0.0,,
2025-03-26,"Northbridge Software, Inc.",Bill,BILL-5075,Baymark CPAs,,2000,Accounts Payable,0.0,5715.75,,
2025-03-27,"Northbridge Software, Inc.",Bill,BILL-5079,Baymark CPAs,,2000,Accounts Payable,0.0,6119.94,,
2025-03-27,"Northbridge Software, Inc.",Bill,BILL-5079,Baymark CPAs,,6800,Professional Fees,6119.94,0.0,,
2025-03-28,"Northbridge Software, Inc.",Journal,PR-5027,ADP Payroll,Customer Support payroll,5010,Customer Support Payroll (COGS),39308.34,0.0,,
2025-03-28,"Northbridge Software, Inc.",Journal,PR-5027,ADP Payroll,Engineering payroll,6000,Salaries & Wages - Engineering,187325.02,0.0,,
2025-03-28,"Northbridge Software, Inc.",Journal,DEP-2,,Monthly depreciation,1510,Accumulated Depreciation,0.0,1818.06,,
2025-03-28,"Northbridge Software, Inc.",Journal,DEP-2,,Monthly depreciation,7000,Depreciation Expense,1818.06,0.0,,
2025-03-28,"Northbridge Software, Inc.",Bill,BILL-5006,aws,Hosting,5000,Hosting & Infrastructure (COGS),35291.46,0.0,,
2025-03-28,"Northbridge Software, Inc.",Journal,PR-5027,ADP Payroll,Payroll taxes & benefits,6100,Payroll Taxes & Benefits,111687.5,0.0,,
2025-03-28,"Northbridge Software, Inc.",Journal,PR-5027,ADP Payroll,Sales & Marketing payroll,6010,Salaries & Wages - Sales & Marketing,98008.34,0.0,,
2025-03-28,"Northbridge Software, Inc.",Journal,PR-5027,ADP Payroll,G&A payroll,6020,Salaries & Wages - G&A,72116.68,0.0,,
2025-03-28,"Northbridge Software, Inc.",Journal,PR-5027,ADP Payroll,Payroll clearing to bank,1000,Chase Business Checking,0.0,508445.88,,
2025-03-29,"Northbridge Software, Inc.",Bill,BILL-5068,Outreach.io,,6300,Marketing & Advertising,6403.58,0.0,,
2025-03-29,"Northbridge Software, Inc.",Bill,BILL-5068,Outreach.io,,2000,Accounts Payable,0.0,6403.58,,
2025-04-01,"Northbridge Software, Inc.",Bill,BILL-5091,Sterling & Voss LLP (Legal),,6800,Professional Fees,5342.97,0.0,,
2025-04-01,"Northbridge Software, Inc.",Bill,BILL-5091,Sterling & Voss LLP (Legal),,2000,Accounts Payable,0.0,5342.97,,
2025-04-02,"Northbridge Software, Inc.",Bill,BILL-5081,Baymark CPAs,,6800,Professional Fees,5746.98,0.0,,
2025-04-02,"Northbridge Software, Inc.",Bill,BILL-5081,Baymark CPAs,,2000,Accounts Payable,0.0,5746.98,,
2025-04-04,"Northbridge Software, Inc.",Bill,BILL-5088,Salesforce.com,,6400,Dues & Subscriptions,437.42,0.0,,
2025-04-04,"Northbridge Software, Inc.",Bill,BILL-5088,Salesforce.com,,2000,Accounts Payable,0.0,437.42,,
2025-04-05,"Northbridge Software, Inc.",Bill,BILL-5093,Office Depot,,6600,Office Supplies,248.73,0.0,,
2025-04-05,"Northbridge Software, Inc.",Bill,BILL-5089,Outreach.io,,2000,Accounts Payable,0.0,1253.83,,
2025-04-05,"Northbridge Software, Inc.",Bill,BILL-5093,Office Depot,,2000,Accounts Payable,0.0,248.73,,
2025-04-05,"Northbridge Software, Inc.",Bill,BILL-5089,Outreach.io,,6300,Marketing & Advertising,1253.83,0.0,,
2025-04-05,"Northbridge Software, Inc.",Bill,BILL-5084,Travelers Insurance,,2000,Accounts Payable,0.0,2002.83,,
2025-04-05,"Northbridge Software, Inc.",Bill,BILL-5084,Travelers Insurance,,6900,Misc Expense,2002.83,0.0,,
2025-04-07,"Northbridge Software, Inc.",Bill,BILL-5087,Office Depot,,6600,Office Supplies,45.6,0.0,,
2025-04-07,"Northbridge Software, Inc.",Bill,BILL-5087,Office Depot,,2000,Accounts Payable,0.0,45.6,,
2025-04-08,"Northbridge Software, Inc.",Bill,BILL-5090,AWS,,2000,Accounts Payable,0.0,86.73,,
2025-04-08,"Northbridge Software, Inc.",Bill,BILL-5090,AWS,,6410,Computer & Internet Expense,86.73,0.0,,
2025-04-09,"Northbridge Software, Inc.",Bill,BILL-5086,Figma,,2000,Accounts Payable,0.0,1152.35,,
2025-04-09,"Northbridge Software, Inc.",Bill,BILL-5086,Figma,,6400,Dues & Subscriptions,1152.35,0.0,,
2025-04-12,"Northbridge Software, Inc.",Bill,BILL-5082,Uber Technologies,,2000,Accounts Payable,0.0,227.01,,
2025-04-12,"Northbridge Software, Inc.",Bill,BILL-5083,Austin Commercial Properties LLC,,6700,Rent Expense,14025.89,0.0,,
2025-04-12,"Northbridge Software, Inc.",Journal,COMM-5228,Various Reps,Commission accrual,6200,Sales Commissions,7425.79,0.0,,
2025-04-12,"Northbridge Software, Inc.",Bill,BILL-5083,Austin Commercial Properties LLC,,2000,Accounts Payable,0.0,14025.89,,
2025-04-12,"Northbridge Software, Inc.",Journal,COMM-5228,Various Reps,Commission accrual,2400,Accrued Expenses,0.0,7425.79,,
2025-04-12,"Northbridge Software, Inc.",Bill,BILL-5082,Uber Technologies,,6500,Travel & Entertainment,227.01,0.0,,
2025-04-13,"Northbridge Software, Inc.",Bill,BILL-5008,Amazon Web Services,Hosting,5000,Hosting & Infrastructure (COGS),42586.72,0.0,,
2025-04-16,"Northbridge Software, Inc.",Bill,BILL-5085,Notion Labs,,2000,Accounts Payable,0.0,2290.59,,
2025-04-16,"Northbridge Software, Inc.",Bill,BILL-5085,Notion Labs,,6400,Dues & Subscriptions,2290.59,0.0,,
2025-04-21,"Northbridge Software, Inc.",Bill,BILL-5092,Staples,,2000,Accounts Payable,0.0,179.68,,
2025-04-21,"Northbridge Software, Inc.",Bill,BILL-5092,Staples,,6600,Office Supplies,179.68,0.0,,
2025-04-25,"Northbridge Software, Inc.",Bill,BILL-5094,Baymark CPAs,,6800,Professional Fees,3170.4,0.0,,
2025-04-25,"Northbridge Software, Inc.",Bill,BILL-5094,Baymark CPAs,,2000,Accounts Payable,0.0,3170.4,,
2025-04-26,"Northbridge Software, Inc.",Invoice,INV-5007,Various Customers,Monthly subscription revenue (per Stripe summary),1200,Accounts Receivable,425074.27,0.0,,Manual re-entry
2025-04-26,"Northbridge Software, Inc.",Payment,PMT-5007,Stripe Collections,Customer payments collected,1010,Stripe Clearing,397540.04,0.0,,
2025-04-26,"Northbridge Software, Inc.",Invoice,INV-5007,Various Customers,Monthly subscription revenue (per Stripe summary),4000,Subscription Revenue,0.0,425074.27,,Manual re-entry
2025-04-26,"Northbridge Software, Inc.",Transfer,SWEEP-5007,Stripe,Stripe payout swept to bank,1010,Stripe Clearing,0.0,386011.38,,
2025-04-26,"Northbridge Software, Inc.",Journal,JE-5007,Stripe,Payment processing fees,5020,Payment Processing Fees (COGS),11528.66,0.0,,
2025-04-26,"Northbridge Software, Inc.",Transfer,SWEEP-5007,Stripe,Stripe payout swept to bank,1000,Chase Business Checking,386011.38,0.0,,
2025-04-26,"Northbridge Software, Inc.",Journal,JE-5007,Stripe,Payment processing fees,1010,Stripe Clearing,0.0,11528.66,,
2025-04-26,"Northbridge Software, Inc.",Payment,PMT-5007,Stripe Collections,Customer payments collected,1200,Accounts Receivable,0.0,397540.04,,
